,,,,,,,"Percent of",,,,,,"Percent of",,,,,,"Percent of",,,,,,"Percent of",,
,,,,,,,"total justice",,,,,,"total justice",,,,,,"total justice",,,,,,"total justice",,
,"Total full-time",,,,,,"full-time",,,,,,"full-time",,,,,,"full-time",,,,,,"full-time",,
"State and","equivalent",,,"Full-time",,,"equivalent",,,"Full-time",,,"equivalent",,,"Full-time",,,"equivalent",,,"Full-time",,,"equivalent",,"State and"
"type of government","employment/a",,"Total","only",,"Number","employment/b",,"Total","only",,"Number","employment/b",,"Total","only",,"Number","employment/b",,"Total","only",,"Number","employment/b",,"type of government"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"     State",141040,,18141,17664,,17848,12.7,,2458,2442,,2451,13.7,,2478,2112,,2226,12.5,,13205,13110,,13171,73.8,,"     State"
"     Local, total",422071,,49026,42803,,44866,10.6,,26824,22720,,23971,53.4,,15149,13483,,14109,31.4,,7053,6600,,6786,15.1,,"     Local, total"
"        Counties",88993,,23016,21740,,22274,25,,5587,5308,,5415,24.3,,10776,10190,,10437,46.9,,6653,6242,,6422,28.8,,"        Counties"
"        Municipalities",88169,,26010,21063,,22592,25.6,,21237,17412,,18556,82.1,,4373,3293,,3672,16.3,,400,358,,364,1.6,,"        Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma",194519,,20824,19247,,19823,10.2,,9778,8970,,9300,46.9,,3462,2977,,3050,15.4,,7584,7300,,7473,37.7,,"Oklahoma"
"     State",68065,,10371,10133,,10240,15,,1640,1616,,1624,15.9,,1984,1893,,1912,18.7,,6747,6624,,6704,65.5,,"     State"
"     Local, total",126454,,10453,9114,,9583,7.6,,8138,7354,,7676,80.1,,1478,1084,,1138,11.9,,837,676,,769,8,,"     Local, total"
"        Counties",14013,,3093,2618,,2874,20.5,,1582,1303,,1456,50.7,,742,683,,718,25,,769,632,,700,24.4,,"        Counties"
"        Municipalities",30441,,7360,6496,,6709,22,,6556,6051,,6220,92.7,,736,401,,420,6.3,,68,44,,69,1,,"        Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oregon",160334,,17581,15675,,16337,10.2,,7860,7037,,7248,44.4,,3975,3508,,3690,22.6,,5746,5130,,5399,33,,"Oregon"
"     State",50884,,6509,5962,,6182,12.1,,1341,1188,,1207,19.5,,2451,2253,,2362,38.2,,2717,2521,,2613,42.3,,"     State"
"     Local, total",109450,,11072,9713,,10155,9.3,,6519,5849,,6041,59.5,,1524,1255,,1328,13.1,,3029,2609,,2786,27.4,,"     Local, total"
"        Counties",17434,,6108,5434,,5711,32.8,,1947,1790,,1843,32.3,,1149,1051,,1099,19.2,,3012,2593,,2769,48.5,,"        Counties"
"        Municipalities",17661,,4964,4279,,4444,25.2,,4572,4059,,4198,94.5,,375,204,,229,5.2,,17,16,,17,0.4,,"        Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pennsylvania",516171,,70579,61419,,65240,12.6,,33186,26165,,28820,44.2,,15592,14208,,14893,22.8,,21801,21046,,21527,33,,"Pennsylvania"
"     State",150332,,19159,18972,,19130,12.7,,5376,5375,,5375,28.1,,2443,2332,,2447,12.8,,11340,11265,,11308,59.1,,"     State"
"     Local, total",365839,,51420,42447,,46110,12.6,,27810,20790,,23445,50.8,,13149,11876,,12446,27,,10461,9781,,10219,22.2,,"     Local, total"
"        Counties",55646,,20016,17905,,19018,34.2,,2191,1944,,2069,10.9,,9907,8720,,9273,48.8,,7918,7241,,7676,40.4,,"        Counties"
"        Municipalities",73591,,31404,24542,,27092,36.8,,25619,18846,,21376,78.9,,3242,3156,,3173,11.7,,2543,2540,,2543,9.4,,"        Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rhode Island",47867,,5953,5630,,5753,12,,3017,2762,,2861,49.7,,1205,1143,,1165,20.3,,1731,1725,,1727,30,,"Rhode Island"
"     State",18772,,3038,3014,,3026,16.1,,239,239,,239,7.9,,1068,1050,,1060,35,,1731,1725,,1727,57.1,,"     State"
"     Local, total",29095,,2915,2616,,2727,9.4,,2778,2523,,2622,96.1,,137,93,,105,3.9,,"-","-",,"-","-",,"     Local, total"
"        Counties","-",,"-","-",,"-","-",,"-","-",,"-","-",,"-","-",,"-","-",,"-","-",,"-","-",,"        Counties"
"        Municipalities",27053,,2915,2616,,2727,10.1,,2778,2523,,2622,96.1,,137,93,,105,3.9,,"-","-",,"-","-",,"        Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Carolina",208107,,23482,22354,,22843,11,,10852,10064,,10346,45.3,,3165,2879,,3057,13.4,,9465,9411,,9440,41.3,,"South Carolina"
"     State",76487,,10436,10408,,10426,13.6,,2284,2277,,2281,21.9,,559,551,,556,5.3,,7593,7580,,7589,72.8,,"     State"
"     Local, total",131620,,13046,11946,,12417,9.4,,8568,7787,,8065,65,,2606,2328,,2501,20.1,,1872,1831,,1851,14.9,,"     Local, total"
"        Counties",30108,,7987,7280,,7591,25.2,,3842,3404,,3547,46.7,,2301,2066,,2217,29.2,,1844,1810,,1827,24.1,,"        Counties"
"        Municipalities",16912,,5059,4666,,4826,28.5,,4726,4383,,4518,93.6,,305,262,,284,5.9,,28,21,,24,0.5,,"        Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Dakota",41786,,3689,3018,,3278,7.8,,1756,1426,,1538,46.9,,867,656,,754,23,,1066,936,,986,30.1,,"South Dakota"
"     State",14252,,1554,1371,,1480,10.4,,276,273,,275,18.6,,595,454,,538,36.4,,683,644,,667,45.1,,"     State"
"     Local, total",27534,,2135,1647,,1798,6.5,,1480,1153,,1263,70.2,,272,202,,216,12,,383,292,,319,17.7,,"     Local, total"
"        Counties",3650,,1127,871,,935,25.6,,520,403,,429,45.9,,236,188,,199,21.3,,371,280,,307,32.8,,"        Counties"
